CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct RegWrite,RsEqRt ALUsrcB,ALUOP  A_reg      B_reg    sext_imm_reg  ALU_output   ALUout_reg  B_reg_pMEM  MEMwr,Mem2reg,   MDR_reg  ALUout_reg_pWB GPR_wr_data
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4     Funct_pEX      rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11  RegWr,Rd[MEM&WB]  rdbk13      rdbk14       rdbk15      
97  x"004001D8" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000002A" x"00000000" x"00000000"     x"00000AAA" x"00000AAA" x"00000555" x"00000000"     x"010B010A" x"00000000" x"00000000" x"00000000
98  x"004001DC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000AAA" x"00000000"     x"010C010B" x"00000000" x"00000555" x"00000555
99  x"004001E0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0100010C" x"00000000" x"00000AAA" x"00000AAA
100  x"004001E4" x"116CFFF1" x"FFFFFFF1" x"0B0C1F31"     x"00000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
101  x"004001E8" x"200C0555" x"00000555" x"000C0015"     x"10000000" x"00000131" x"00000555" x"00000AAA"     x"FFFFFFF1" x"FFFFFAAB" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
102  x"004001EC" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000015" x"00000000" x"00000AAA"     x"00000555" x"00000555" x"FFFFFAAB" x"00000AAA"     x"000C0100" x"00000000" x"00000000" x"00000000
103  x"004001F0" x"116C0003" x"00000003" x"0B0C0003"     x"00000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000555" x"00000AAA"     x"010C000C" x"00000000" x"FFFFFAAB" x"FFFFFAAB
104  x"004001F4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000103" x"00000555" x"00000AAA"     x"00000003" x"FFFFFAAB" x"00000000" x"00000000"     x"0100010C" x"00000000" x"00000555" x"00000555
105  x"004001F8" x"214A0001" x"00000001" x"0A0A0001"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"FFFFFAAB" x"00000AAA"     x"000C0100" x"00000000" x"00000000" x"00000000
106  x"004001FC" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000001" x"00000000" x"00000000"     x"00000001" x"00000001" x"00000000" x"00000000"     x"0100000C" x"00000000" x"FFFFFAAB" x"FFFFFAAB
107  x"00400200" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000001" x"00000000"     x"010A0100" x"00000000" x"00000000" x"00000000
108  x"00400204" x"200C0AAA" x"00000AAA" x"000C012A"     x"10000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"0100010A" x"00000000" x"00000001" x"00000001
109  x"00400208" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000002A" x"00000000" x"00000555"     x"00000AAA" x"00000AAA" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
110  x"0040020C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000AAA" x"00000555"     x"010C0100" x"00000000" x"00000000" x"00000000
