CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct  RegWrite,RsEqRt GPRrddata1 GPRrddata2  ALUsrcB_pEX      A_reg      B_reg    sext_imm_reg ALU_output      ALUout_reg  RD,RegWrite_pWB
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4       rdbk5       rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11         rdbk12       rdbk13      rdbk14       rdbk15      
80  x"00400140" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000003" x"000F0001"   
81  x"00400144" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
82  x"00400148" x"22100001" x"00000001" x"10100001"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
83  x"0040014C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000000" x"00000000" x"00000001" x"00000001"     x"00000000" x"00000001"   
84  x"00400150" x"21EFFFFF" x"FFFFFFFF" x"0F0F1F3F"     x"10000001" x"00000003" x"00000003" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000001" x"00100001"   
85  x"00400154" x"11E00004" x"00000004" x"0F000004"     x"00000000" x"00000003" x"00000000" x"1000003F"     x"00000003" x"00000003" x"FFFFFFFF" x"00000002"     x"00000000" x"00000001"   
86  x"00400158" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000104"     x"00000003" x"00000000" x"00000004" x"00000003"     x"00000002" x"000F0001"   
87  x"0040015C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000003" x"00000000"   
88  x"00400160" x"08100051" x"00000051" x"00100011"     x"00000000" x"00000000" x"00000001" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
89  x"00400164" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000011"     x"00000000" x"00000001" x"00000051" x"00000001"     x"00000000" x"00000001"   
90  x"00400148" x"22100001" x"00000001" x"10100001"     x"10000001" x"00000001" x"00000001" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000001" x"00100000"   
91  x"0040014C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000001" x"00000001" x"00000001" x"00000002"     x"00000000" x"00000001"   
92  x"00400150" x"21EFFFFF" x"FFFFFFFF" x"0F0F1F3F"     x"10000001" x"00000002" x"00000002" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000002" x"00100001"   
93  x"00400154" x"11E00004" x"00000004" x"0F000004"     x"00000000" x"00000002" x"00000000" x"1000003F"     x"00000002" x"00000002" x"FFFFFFFF" x"00000001"     x"00000000" x"00000001"   
94  x"00400158" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000104"     x"00000002" x"00000000" x"00000004" x"00000002"     x"00000001" x"000F0001"   
95  x"0040015C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000002" x"00000000"   
96  x"00400160" x"08100051" x"00000051" x"00100011"     x"00000000" x"00000000" x"00000002" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000001"   
97  x"00400164" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"00000011"     x"00000000" x"00000002" x"00000051" x"00000002"     x"00000000" x"00000001"   
98  x"00400148" x"22100001" x"00000001" x"10100001"     x"10000001" x"00000002" x"00000002" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000002" x"00100000"   
99  x"0040014C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000000" x"00000000" x"10000001"     x"00000002" x"00000002" x"00000001" x"00000003"     x"00000000" x"00000001"   
100  x"00400150" x"21EFFFFF" x"FFFFFFFF" x"0F0F1F3F"     x"10000001" x"00000001" x"00000001" x"00000200"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00000003" x"00100001"   
